Source,RA (J2000),Dec (J2000)
B0329+54,53.247367,54.578769
B0355+54,59.723849,54.220496
B0410+69,63.981889,69.902747
B0525+21,82.217767,22.001111
(Crab) B0531+21,83.633221,22.014461
J0347+5557,56.98671696,55.95877173
J0413+5250,63.40452672,52.84804007
J0426+6825,66.70862545,68.43136938
J0550+2326,87.69746206,23.44671581
J0550+2326,87.69746206,23.44671581
J0422+5324,65.6849953,53.40729536
J0422+5324,65.6849953,53.40729536
J0524+7034,81.05597257,70.58136284
J0603+2159,90.9648209,21.99380519
J0603+2159,90.9648209,21.99380519
